idx,d0,d1,d2,maqaf,paseq,break
1.1.1,בראשית,בְּרֵאשִׁית,בְּרֵאשִׁ֖ית,,False,
1.1.2,ברא,בָּרָא,בָּרָ֣א,,False,
1.1.3,אלהים,אֱלֹהִים,אֱלֹהִ֑ים,,False,
1.1.4,את,אֵת,אֵ֥ת,,False,
1.1.5,השמים,הַשָּׁמַיִם,הַשָּׁמַ֖יִם,,False,
1.1.6,ואת,וְאֵת,וְאֵ֥ת,,False,
1.1.7,הארץ,הָאָרֶץ׃,הָאָֽרֶץ׃,,False,
1.2.1,והארץ,וְהָאָרֶץ,וְהָאָ֗רֶץ,,False,
1.2.2,היתה,הָיְתָה,הָיְתָ֥ה,,False,
1.2.3,תהו,תֹהוּ,תֹ֙הוּ֙,,False,
1.2.4,ובהו,וָבֹהוּ,וָבֹ֔הוּ,,False,
1.2.5,וחשך,וְחֹשֶׁךְ,וְחֹ֖שֶׁךְ,,False,
1.2.6,על,עַל,עַל,"(1, 2)",False,
1.2.7,פני,פְּנֵי,פְּנֵ֣י,"(2, 2)",False,
1.2.8,תהום,תְהוֹם,תְה֑וֹם,,False,
1.2.9,ורוח,וְרוּחַ,וְר֣וּחַ,,False,
1.2.10,אלהים,אֱלֹהִים,אֱלֹהִ֔ים,,False,
1.2.11,מרחפת,מְרַחֶפֶת,מְרַחֶ֖פֶת,,False,
1.2.12,על,עַל,עַל,"(1, 2)",False,
1.2.13,פני,פְּנֵי,פְּנֵ֥י,"(2, 2)",False,
1.2.14,המים,הַמָּיִם׃,הַמָּֽיִם׃,,False,
1.3.1,ויאמר,וַיֹּאמֶר,וַיֹּ֥אמֶר,,False,
1.3.2,אלהים,אֱלֹהִים,אֱלֹהִ֖ים,,False,
1.3.3,יהי,יְהִי,יְהִ֣י,,False,
1.3.4,אור,אוֹר,א֑וֹר,,False,
1.3.5,ויהי,וַיְהִי,וַֽיְהִי,"(1, 2)",False,
1.3.6,אור,אוֹר׃,אֽוֹר׃,"(2, 2)",False,
1.4.1,וירא,וַיַּרְא,וַיַּ֧רְא,,False,
1.4.2,אלהים,אֱלֹהִים,אֱלֹהִ֛ים,,False,
1.4.3,את,אֶת,אֶת,"(1, 2)",False,
